,,,question,circle 1,circle 2,circle 3,intersection12,intersection23,intersection13,intersection123
level 1,,1,The chance that a randomly selected household owns a Cat is 30%.,0.3,,,,,,
,,2,The chance that a randomly selected household owns a Dog is 40%.,0.4,,,,,,
,,3,The chance that a randomly selected household does not own a Cat is 70%.,0.7,,,,,,
,,4,The chance that a randomly selected household does not own a Dog is 60%.,0.6,,,,,,
,,5,The chance that a random card is a 'Heart'.,0.25,,,,,,
level 2,,6,15% of students at a college are Freshmen and 20% are Seniors.The blue circle represents Freshmen and the green circle represents Seniors.,0.15,0.2,,0,,,
,,7,Two things (A and B) each have a probability of 20% and they are mutually exclusive.,0.2,0.2,,0,,,
,,8,Two things (A and B) each have a probability of 40% and they are independent.,0.4,0.4,,0.16,,,
,,9,20% of students at a college are Seniors and 12% are Graduating seniors. The blue circle represents Seniors and the green circle represents Graduating seniors.,0.2,0.12,,0.12,,,
,,10,"40% households have a Dog, 30% have a Cat, and 17% have both.",0.4,0.3,,0.17,,,
level 3,,11,"15% of students at a college are Freshmen, 15% are Juniors, and 10% are Seniors. The blue circle represents Freshmen, the green circle represents Juniors and the red cicle represents Seniors.",0.15,0.15,0.1,0,0,0,
,,12,"50% of customers at a buffet get a Soda, 30% take Mashed Potatoes, and 20% take Broccoli and these three are all independent.",0.5,0.3,0.2,0.15,0.06,0.1,
,,13,"30% of students at a college are Freshmen, and 20% are Seniors. While 45% of all students are Male, it turns out that 50% of the Freshmen are Men but only 40% of the Seniors are Male.",0.3,0.2,0.45,0,0.08,0.15,
,,14,"30% of customers at a gas station pay with Cash, 20% pay with a Debit card,and 60% buy Regular gas independent of how they pay.",0.3,0.2,0.6,0,0.12,0.18,
,,15,"First toss, on the Second toss and on the Third toss.
events are H1, H2, and H3  for heads on first, second and third toss. ",0.5,0.5,0.5,0.25,0.25,0.25,0.125
